ID;Vezeteknev;Keresztnev;Utonev;Felhasznalonev;VezetekesTel;MobilTel;Email;IRSZ;Varos;KozteruletNeve;KozteruletJellege;Hazszam;Epulet;Statusz
1;Erdôs;Piroska;U;Counnoted;36558134540204;36394036069538;ErosMarkos@cuvox.de;8417;Iszkáz;Kárpát;utca;63;I;0
2;Gyenis;Ktisztina;A;Bessithe;367365581903485;361579957878604;LangMaria@superrito.com;9620;Piliscsév;Erzsébet;körút;72;F;2
3;Simon;Zsofia;G;Aphis1991;368724152516636;36565085446031;NemethBrigitta@jourrapide.com;4082;Káptalanfüred;Rákóczi;út;29;F;1
4;Orosz;Kevin;E;Yousses;364332911814399;361654673151848;FenyvessyCsanad@rhyta.com;7929;Vékény;Szilágyi Erzsébet;fasor;4;H;0
5;Simon;László;B;Enctiong;367325870047418;3688459605052083;ZsinkoArpad@armyspy.com;5348;Meggyeskovácsi;Belgrád;rakpart;60;F;1
6;Tar;Orzsebet;K;Wroing;362584923177068;360094568610568;FejesSzescx@armyspy.com;2597;Garbolc;Apor Péter;utca;8;H;1
7;Polach;Irenke;L;Campt1981;364119077124533;364799959465664;SzokeTamara@armyspy.com;5786;Maglód;Síp;utca;91;J;0
8;Hermann;Eszti;B;Ragespoet;365376781858826;36049364041247;SeressBora@jourrapide.com;8195;Nyíradony;Tompa ;utca;94;C;0
9;Gölöncsér;Mara;R;Tandishe;368965431686913;3621202908944411;ThuryKellman@einrot.com;8839;Ukk;Izabella;utca;20;D;2
10;Forgáts;Barbara;D;Bleady;366623161750028;3621336956369837;BalogOguz@cuvox.de;4147;Sukoró;Teréz ;körút;12;B;1
11;Jósa;Zétény;Z;Puter1962;361746899485399;36506207191633;KonyaVarkony@einrot.com;2025;Tiszagyenda;Apor Péter;utca;87;F;0
12;Pálffi;Jázmin;R;Knowers;366881073823851;3615949185811795;VagnerDeco@dayrep.com;3318;Bakonycsernye;Teréz ;körút;89;F;1
13;Pálinkás;Natália;R;Pire1947;366907826202601;360148725917550;FazakasCsenger@superrito.com;7111;Egerlövô;Dózsa György;út;64;H;0
14;Balog;Angyalka;Á;Grall1996;366875957340635;366534323814084;SebestyenAndrea@jourrapide.com;4340;Öcs;Rákóczi;út;62;E;1
15;Majoros;Egyed;J;Hembill;361794871184896;363577550041706;PaalMiksa@dayrep.com;6362;Siójut;Nánási;út;27;B;0
